id,corridorid,level,name,longname,unit,image,enable,idSAP,tax,creationdate,lastmodifydate,bImage,salescount,owner,tipo_art
20035,2709,P030202,AMARILLO CONAPROLE COLONIA,QUESO AMARILLO CONAPROLE TIPO COLONIA,KG,,0,000000000000020035,0.12,7/6/2011,6/18/2013,0,1,0,ZCHQ
20041,2709,P030202,DELI QUESO AMARI,QUESO AMARILLO DELILLANO,KG,,0,000000000000020041,0.12,7/6/2011,11/15/2011,0,2,0,
20054,2709,P030202,EDAM FRICO BOLA GRAN,QUESO EDAM FRICO BOLA GRANDE,KG,,0,000000000000020054,0.12,7/6/2011,11/15/2011,0,2,0,
20056,2709,P030202,GOUDA FRICOBARRA,QUESO GOUDA FRICOBARRA,KG,,0,000000000000020056,0.12,7/6/2011,6/17/2013,0,1,0,ZCHQ
20059,2709,P030202,EDAM GALLO NEGRO,QUESO EDAM GALLO NEGRO BARRA,KG,,0,000000000000020059,0.12,7/6/2011,6/18/2013,0,33,0,ZCHQ
20062,2709,P030202,GOUDA GALLO NEGRO BARRA,QUESO GOUDA GALLO NEGRO BARRA,KG,,0,000000000000020062,0.12,7/6/2011,6/20/2013,0,4,0,ZCHQ
20069,2709,P030202,KANNY QUESO GOUDA BARRA,QUESO GOUDA KANNY BARRA,KG,,0,000000000000020069,0.12,7/6/2011,6/17/2013,0,1,0,ZCHQ
20074,2709,P030202,QUESO GOUDA FRAILES,QUESO GOUDA LOS FRAILES BARRA,KG,,0,000000000000020074,0.12,7/6/2011,6/17/2013,0,146,0,ZCHQ
20075,2709,P030202,L FRAI QUESO GOUDA RED PEQ,QUESO GOUDA LOS FARILES RED PEQ,KG,,0,000000000000020075,0.12,7/6/2011,6/17/2013,0,13,0,ZCHQ
20076,2709,P030202,QSO PIRINEO LOS FRAILES,QUESO PIRINEO LOS FRAILES REDOND,KG,,-1,000000000000020076,0.12,7/6/2011,6/7/2018,0,2,0,ZCHQ
20077,2709,P030202,EDAM MARACAY BOLA PQ,QUESO EDAM MARACAY BOLA PEQ,KG,,0,000000000000020077,0.12,7/6/2011,3/14/2014,0,2,0,ZCHQ
20083,2709,P030202,QUESO AMARILLO MONACO,QUESO AMARILLO MONACO URUGUAYO,KG,,0,000000000000020083,0.12,7/6/2011,11/15/2011,0,3,0,
20084,2709,P030202,QUESO EDAM OPTIMUS,QUESO EDAM OPTIMUS BARRA,KG,,0,000000000000020084,0.12,7/6/2011,2/3/2014,0,3,0,ZCHQ
20089,2709,P030202,QUE ORO D HOL EDAM BARRA,QUESO EDAM ORO DE HOLANDA BARRA,KG,,0,000000000000020089,0.12,7/6/2011,2/3/2014,0,7,0,ZCHQ
20094,2709,P030202,GOUDA PAISA,QUESO GOUDA PAISA,KG,,0,000000000000020094,0.12,7/6/2011,6/17/2013,0,5,0,ZCHQ
20095,2709,P030202,MUNSTER PAISA,QUESO MUNSTER PAISA,KG,,0,000000000000020095,0.12,7/6/2011,2/11/2014,0,75,0,ZCHQ
20100,2709,P030202,QUE PILI GOU URUG 3KG.,QUESO GOUDA PILI URUG TIPO COLONIA 3 KG,KG,,0,000000000000020100,0.12,7/6/2011,6/17/2013,0,153,0,ZCHQ
20114,2709,P030202,EDAM TORONDOY REDONDO,QUESO EDAM TORONDOY REDONDO,KG,,0,000000000000020114,0.12,7/6/2011,2/3/2014,0,1,0,ZCHQ
20115,2709,P030202,FYMBO TORONDOY BARRA,QUESO FYMBO TORONDOY BARRA,KG,,0,000000000000020115,0.12,7/6/2011,12/5/2012,0,1,0,ZCHQ
20116,2709,P030202,FYMBO TORONDOY REDONDO,QUESO FYMBO TORONDOY REDONDO,KG,,0,000000000000020116,0.12,7/6/2011,2/3/2014,0,1,0,ZCHQ
20118,2709,P030202,GOUDA TORONDOY,QUESO GOUDA TORONDOY REDONDO,KG,,0,000000000000020118,0.12,7/6/2011,11/15/2011,0,1,0,
20119,2709,P030202,EDAM TORONDOY BARRA,QUESO EDAM TORONDOY BARRA,KG,,0,000000000000020119,0.12,7/6/2011,11/15/2011,0,1,0,
20139,2706,P030102,ANEJO TACHIRENSE,QUESO ANEJO TACHIRENSE,KG,,0,000000000000020139,0.12,7/6/2011,9/10/2015,0,1,0,ZCHQ
20145,2709,P030202,QUES AZUL PAISA,QUESO AZUL PAISA,KG,,-1,000000000000020145,0.12,7/6/2011,6/7/2018,0,7,0,ZCHQ
20149,2706,P030102,QUESO DE ANO,QUESO DE ANO,KG,,-1,000000000000020149,0,7/6/2011,6/7/2018,0,75,0,ZCHQ
20153,2705,P030101,QUESO DURO BUFALA,QUESO BLANCO DURO DE BUFALA,KG,,0,000000000000020153,0,7/6/2011,9/10/2015,0,29,0,ZCHQ
20154,2709,P030202,QSO GOUD BUFALIND,QUESO GOUDA BLANCO BUFALINDA,KG,,0,000000000000020154,0.12,7/6/2011,4/26/2018,0,22,0,ZCHQ
20155,2705,P030101,QUES DELIZULIA PALMI,QUESO BLANCO DELIZULIA PALMITA,KG,,-1,000000000000020155,0,7/6/2011,6/7/2018,0,502,0,ZCHQ
20156,2705,P030101,QUESO BLANCO DURO,QUESO BLANCO DURO,KG,,0,000000000000020156,0,7/6/2011,2/18/2014,0,131,0,ZCHQ
20158,2707,P030103,QUESO PALMIBUFALA,QUESO BLANCO PALMIBUFALA,KG,,-1,000000000000020158,0,4/27/2018,6/7/2018,0,2,0,ZCHQ
20161,2705,P030101,REQUESON PACOMELA,REQUESON PACOMELA,KG,,-1,000000000000020161,0,7/6/2011,6/7/2018,0,9,0,ZCHQ
20162,2706,P030102,QSO BCO PACOMEL 5ES,QUESO BLANCO PACOMELA DE ANO 5 ESTRELL,KG,,-1,000000000000020162,0,4/27/2018,6/7/2018,0,83,0,ZCHQ
20164,2707,P030103,QUESO PAISA,QUESO BLANCO PAISA PASTEURIZADO,KG,,-1,000000000000020164,0,7/6/2011,6/7/2018,0,137,0,ZCHQ
20165,2707,P030103,QUESO PAISA LIGHT,QUESO BLANCO PAISA PASTEURIZADO LIGHT,KG,,0,000000000000020165,0,7/6/2011,1/28/2013,0,28,0,ZCHQ
20166,2707,P030103,QUESO PAISA PREMIUM,QUESO BLANCO PAISA PASTEURIZADO PREMIUM,KG,,0,000000000000020166,0,7/6/2011,11/15/2011,0,2,0,
20167,2707,P030103,QUES PALMIFLOR PAST.,QUESO BLANCO PALMIFLOR PASTEURIZADO,KG,,0,000000000000020167,0,7/6/2011,7/17/2013,0,1,0,ZCHQ
20168,2705,P030101,QUESO ZULIANO RED,QUESO ZULIANO REDONDO,KG,,-1,000000000000020168,0,7/6/2011,6/7/2018,0,27,0,ZCHQ
20170,2707,P030103,QUESO ZULIA PASTEUR,QUESO BLANCO ZULIA PASTEURIZADO,KG,,0,000000000000020170,0,7/6/2011,7/17/2013,0,12,0,ZCHQ
20171,2707,P030103,QUESO PACOMELA PAST.,QUESO BLANCO PACOMELA PAST PARA REBANAR,KG,,0,000000000000020171,0,7/6/2011,7/17/2013,0,4,0,ZCHQ
20172,2705,P030101,PALMITO SAN JERONIMO,QUESO BLANCO SAN JERONIMO PALMITO,KG,,0,000000000000020172,0,7/6/2011,1/28/2013,0,1,0,ZCHQ
20173,2707,P030103,SANTA MARIA PASTEURIZADO,QUESO BLANCO SANTA MARIA PASTEURIZADO,KG,,0,000000000000020173,0,7/6/2011,11/15/2011,0,1,0,
20176,2705,P030101,QUESO BLANCO BLAND,QUESO BLANCO BLANDO,KG,,-1,000000000000020176,0,7/6/2011,6/7/2018,0,163,0,ZCHQ
20181,2704,P030002,QUES CREMA DERILAC,QUESO CREMA DERILAC,KG,,-1,000000000000020181,0.12,7/6/2011,6/7/2018,0,4,0,ZCHQ
20182,2704,P030002,GABY CREMA GABY,QUESO CREMA GABY X KG,KG,,-1,000000000000020182,0.12,7/6/2011,6/7/2018,0,2,0,ZCHQ
20183,2704,P030002,QUESO CREMA MARACAY,QUESO CREMA MARACAY,KG,,0,000000000000020183,0.12,7/6/2011,10/2/2015,0,0,0,ZCHQ
20184,2706,P030102,QSO BLDO DE BUFALA,QUESO BLANDO DE BUFALA,KG,,-1,000000000000020184,0,4/27/2018,6/7/2018,0,23,0,ZCHQ
20185,2706,P030102,BOCCON BUFALA GALON 2.3GR.,QUESO BOCCONCINI DE BUFALA,KG,,-1,000000000000020185,0,7/6/2011,6/7/2018,0,21,0,ZCHQ
20186,2706,P030102,BLANCO BUFALA,QUESO CINCHO DE BUFALA BUFALINDA,KG,,0,000000000000020186,0,7/6/2011,4/26/2018,0,16,0,ZCHQ
20188,2706,P030102,QUESO BUFA PAST DE CUNA,QUESO BUFALA PAST,KG,,0,000000000000020188,0,7/6/2011,11/25/2014,0,3,0,ZCHQ
20189,2706,P030102,QSO BUFALA FRESKITO,QUESO DE BUFALA STA MARIA FRESKITO,KG,,-1,000000000000020189,0,7/6/2011,6/7/2018,0,326,0,ZCHQ
20192,2706,P030102,QUESO CABRA NAT,QUESO DE CABRA NATURAL,KG,,0,000000000000020192,0.12,7/6/2011,9/10/2015,0,6,0,ZCHQ
20196,2705,P030101,QUESO DE MANO,QUESO DE MANO,ST,,0,000000000000020196,0,7/6/2011,1/21/2014,0,21,0,ZCHQ
20203,2706,P030102,FETA DE BUFALA,QUESO FETA DE BUFALA X KG,KG,,0,000000000000020203,0.12,7/6/2011,4/26/2018,0,4,0,ZCHQ
20206,2703,P030001,FUNDIDO TORONDOY,QUESO FUNDIDO TORONDOY TIPO AMERICANO,KG,,0,000000000000020206,0.12,7/6/2011,9/10/2015,0,2,0,ZCHQ
20208,2703,P030001,FUNDIDO SUIZO TORONDOY,QUESO FUNDIDO TORONDOY TIPO SUIZO,KG,,0,000000000000020208,0.12,7/6/2011,6/28/2012,0,0,0,ZCHQ
20209,2708,P030201,PARMES GRAN PAD PZ 1K,QUESO PARMESANO GRANA PADANO PZAS DE 1KG,KG,,0,000000000000020209,0.12,7/6/2011,3/18/2014,0,4,0,ZCHQ
20215,2705,P030101,QUESO GUAYANES,QUESO GUAYANES,KG,,-1,000000000000020215,0,7/6/2011,6/7/2018,0,336,0,ZCHQ
20217,2709,P030202,MAASDAM CALCAR,QUESO MAASDAM CALCAR,KG,,0,000000000000020217,0.12,7/6/2011,7/2/2012,0,0,0,ZCHQ
20222,2708,P030201,MAASDAM HOLANDES,QUESO MASDAM HOLANDES,KG,,0,000000000000020222,0.12,7/6/2011,2/3/2014,0,9,0,ZCHQ
20231,2708,P030201,MANCHEHO VALDEYARA,QUESO MANCHEGO DERILAC VALDEYARA C NEG,KG,,0,000000000000020231,0.12,7/6/2011,10/2/2015,0,6,0,ZCHQ
20235,2708,P030201,FLOR ARAG QUES MANC,QUESO MANCHEGO CASTILLA,KG,,-1,000000000000020235,0.12,7/6/2011,6/7/2018,0,8,0,ZCHQ
20237,2708,P030201,MANCHEGO MARACAY,QUESO MANCHEGO MARACAY,KG,,0,000000000000020237,0.12,7/6/2011,10/2/2015,0,1,0,ZCHQ
20240,2708,P030201,QUES MANCH QUENA C BLAN,QUESO MANCHEGO QUENACA CONCHA BLANCA,KG,,0,000000000000020240,0.12,7/6/2011,9/10/2015,0,0,0,ZCHQ
20241,2708,P030201,QUES MANCH QUENA C NEGR,QUESO MANCHEGO QUENACA CONCHA NEGRA,KG,,0,000000000000020241,0.12,7/6/2011,9/10/2015,0,1,0,ZCHQ
20246,2706,P030102,MOZARELPACOM ESP B,QUESO MOZARELLA PACOMELA ESPE BARRA 3,KG,,-1,000000000000020246,0,7/6/2011,6/7/2018,0,63,0,ZCHQ
20247,2706,P030102,QSO MOZARELLA ZULIA,QUESO MOZARELLA ZULIA,KG,,0,000000000000020247,0,7/6/2011,9/10/2015,0,3,0,ZCHQ
20250,2706,P030102,QUES MOZ BUF DERILAC,QUESO MOZARELLA BUFALA DERILAC,KG,,0,000000000000020250,0,7/6/2011,11/15/2011,0,0,0,
20251,2706,P030102,QSO MOZAREL CALCAR,QUESO MOZARELLA CALCAR,KG,,0,000000000000020251,0,7/6/2011,11/15/2011,0,0,0,
20252,2706,P030102,QUE CLALDY MOZARELLA,QUESO CLALDY MOZARELLA,KG,,0,000000000000020252,0.12,7/6/2011,11/15/2011,0,1,0,
20255,2706,P030102,QUE MOZAR BUFA GUANOT,QUESO MOZARELLA DE BUFALA,KG,,-1,000000000000020255,0,7/6/2011,6/7/2018,0,22,0,ZCHQ
20256,2706,P030102,QUES MOZAREL DERILAC,QUESO MOZARELLA DERILAC,KG,,0,000000000000020256,0,7/6/2011,10/2/2015,0,4,0,ZCHQ
20258,2706,P030102,FAVOR QUESO MOZARELLA,QUESO MOZARELLA FAVORITA,KG,,0,000000000000020258,0,7/6/2011,11/15/2011,0,2,0,
20259,2706,P030102,MOZARELA GALLO NEGRO,QUESO MOZARELLA GALLO NEGRO,KG,,0,000000000000020259,0,7/6/2011,9/10/2015,0,19,0,ZCHQ
20260,2706,P030102,MOZARELA LAS PALMAS,QUESO MOZARELLA LAS PALMAS X KG,KG,,0,000000000000020260,0,7/6/2011,5/7/2018,0,1,0,ZCHQ
20263,2706,P030102,QSO MOZAREL NAPOLI,QUESO MOZARELLA NAPOLITANA X KG,KG,,-1,000000000000020263,0,7/6/2011,6/7/2018,0,115,0,ZCHQ
20265,2706,P030102,MOZARELA PAISA,QUESO MOZARELLA PAISA X KG,KG,,-1,000000000000020265,0,7/6/2011,6/7/2018,0,286,0,ZCHQ
20268,2706,P030102,MOZARELA QUENACA,QUESO MOZARELLA QUENACA,KG,,0,000000000000020268,0,7/6/2011,10/2/2015,0,10,0,ZCHQ
20269,2706,P030102,MOZARELA QUE EXPRESS,QUESO MOZARELLA QUESO EXPRESS,KG,,0,000000000000020269,0,7/6/2011,10/2/2015,0,3,0,ZCHQ
20270,2706,P030102,MOZARELLA SANTA MARIA,QUESO MOZARELLA SANTA MARIA X KG,KG,,-1,000000000000020270,0,7/6/2011,6/7/2018,0,86,0,ZCHQ
20272,2705,P030101,PALMITA DELIZ MAD CUAD,QUESO PALMITA DELIZULIA MAD ANO CUADRADO,KG,,-1,000000000000020272,0,7/6/2011,6/7/2018,0,526,0,ZCHQ
20273,2705,P030101,PALMITA DELIZ MAD RED,QUESO PALMITA DELIZULIA MAD ANO REDONDO,KG,,-1,000000000000020273,0,7/6/2011,6/7/2018,0,22,0,ZCHQ
20275,2705,P030101,PALM PACOMELA MADURADO,QUESO PALMITA PACOMELA MADURADO,KG,,0,000000000000020275,0,7/6/2011,9/10/2015,0,22,0,ZCHQ
20276,2705,P030101,PALMITA PACOMELA ZULIANO,QUESO PALMITA PACOMELA ZULIANO,KG,,-1,000000000000020276,0,7/6/2011,6/7/2018,0,46,0,ZCHQ
20277,2705,P030101,QUESO PALMITA PAISA,QUESO PALMITA PAISA,KG,,0,000000000000020277,0,7/6/2011,11/15/2011,0,8,0,
20280,2708,P030201,OUES PARM DERILAC,QUESO PARMESANO DERILAC,KG,,-1,000000000000020280,0.12,7/6/2011,6/7/2018,0,155,0,ZCHQ
20281,2708,P030201,DUCAL QUES PARMESA 6 MESES,QUESO PARMESANO DUCAL MADURADO 6 MESES,KG,,-1,000000000000020281,0.12,7/6/2011,6/7/2018,0,8,0,ZCHQ
20282,2708,P030201,QUES PARM FARAG PARM,QUESO PARMESANO FLOR ARAGUA TIPO PARMA,KG,,-1,000000000000020282,0.12,7/6/2011,6/7/2018,0,17,0,ZCHQ
20283,2708,P030201,PARMES GALL NEG C BL,QUESO PARMESANO GALLO NEG CONCHA CB,KG,,0,000000000000020283,0.12,12/7/2011,11/25/2013,0,16,0,ZCHQ
20286,2708,P030201,PARMESANO LACSA C/B,QUESO PARMESANO LACSA CONCHA BLANCA,KG,,0,000000000000020286,0.12,7/6/2011,11/15/2011,0,14,0,
20288,2708,P030201,OUES PARM MARACAY,QUESO PARMESANO MARACAY,KG,,0,000000000000020288,0.12,7/6/2011,10/2/2015,0,11,0,ZCHQ
20290,2708,P030201,OUES REGG OPTIMUS,QUESO REGGIANITO OPTIMUS URUGUAYO,KG,,0,000000000000020290,0.12,7/6/2011,1/28/2013,0,0,0,ZCHQ
20293,2708,P030201,OUES PARM QUELESA,QUESO PARMESANO QUELESA,KG,,0,000000000000020293,0.12,7/6/2011,9/10/2015,0,4,0,ZCHQ
20295,2708,P030201,QSO PARM QUENA C BCA,QUESO PARMESANO QUENACA CONCH BCA,KG,,0,000000000000020295,0.12,7/6/2011,9/10/2015,0,4,0,ZCHQ
20296,2708,P030201,QUESO PARME QUENA C N,QUESO PARMESANO QUENACA CONCHA NEGRA,KG,,0,000000000000020296,0.12,7/6/2011,9/10/2015,0,14,0,ZCHQ
20297,2708,P030201,QUE AUR PARME REG 1KG,QUESO AURICCHIO PARMESANO REGGIANO 1KG,KG,,0,000000000000020297,0.12,7/6/2011,11/15/2011,0,2,0,
20298,2708,P030201,QUE CALC PARME REGGI,QUESO PARMESANO CALCAR REGGIANITO,KG,,0,000000000000020298,0.12,7/6/2011,11/24/2014,0,32,0,ZCHQ
20299,2708,P030201,OUES PARM TORONDOY,QUESO PARMESANO TORONDOY,KG,,0,000000000000020299,0.12,7/6/2011,10/2/2015,0,5,0,ZCHQ
20303,2708,P030201,QUES PARM REGGIA 1KG,QUESO PARMIGIANO REGGIANO PIEZAS DE 1KG,KG,,0,000000000000020303,0.12,7/6/2011,3/18/2014,0,1,0,ZCHQ
20304,2708,P030201,QUES PARM REGG PORC,QUESO PARMIGIANO REGGIANO PIEZ DE 300GR,KG,,0,000000000000020304,0.12,7/6/2011,2/12/2014,0,1,0,ZCHQ
20308,2708,P030201,PECOR AURICHIO ROMAN,QUESO AURICCHIO PECORINO ROMANO TZO 250G,KG,,0,000000000000020308,0.12,7/6/2011,1/28/2013,0,3,0,ZCHQ
20311,2708,P030201,PECOR DERIL SIN PMTA,QUESO PECORINO DERILAC SIN PIMIENTA,KG,,-1,000000000000020311,0.12,7/6/2011,6/7/2018,0,31,0,ZCHQ
20312,2708,P030201,F ARA QUESO PECO TOSC C PIMI,QUESO PECORINO TOSCANO FLOR D ARAG C PIM,KG,,-1,000000000000020312,0.12,7/6/2011,6/7/2018,0,9,0,ZCHQ
20313,2708,P030201,PECORIN FLOR ARAG RALL,QUESO PECORINO TOSCANO RALLADO X KG,KG,,-1,000000000000020313,0.12,4/27/2018,6/7/2018,0,19,0,ZCHQ
20314,2708,P030201,PECO FLOR AR S PIMIE,QUESO PECORINO TOSCANO FLOR D ARAG SPIM,KG,,-1,000000000000020314,0.12,7/6/2011,6/7/2018,0,89,0,ZCHQ
20316,2708,P030201,PECOR  MARACAY,QUESO PECORINO MARACAY GRANDE,KG,,0,000000000000020316,0.12,7/6/2011,10/2/2015,0,6,0,ZCHQ
20320,2708,P030201,QUE QUELE PECO C PIMI,QUESO PECORINO QUELESA CON PIMIENTA,KG,,0,000000000000020320,0.12,7/6/2011,9/10/2015,0,5,0,ZCHQ
20321,2708,P030201,PECORINO QUELE NAT,QUESO PECORINO QUELESA NATURAL,KG,,0,000000000000020321,0.12,7/6/2011,9/10/2015,0,0,0,ZCHQ
20323,2708,P030201,PECORINO QUENACA,QUESO PECORINO ROMANO QUENACA,KG,,0,000000000000020323,0.12,7/6/2011,9/10/2015,0,4,0,ZCHQ
20324,2708,P030201,PECOR  QUENA C PIMI,QUESO PECORINO QUENACA CON PIMIENTA,KG,,0,000000000000020324,0.12,7/6/2011,9/10/2015,0,7,0,ZCHQ
20328,2708,P030201,PECOR QUENACA S PIMI,QUESO PECORINO QUENACA SIN PIMIENTA,KG,,0,000000000000020328,0.12,7/6/2011,5/8/2018,0,8,0,ZCHQ
20334,2708,P030201,PROVOLE QUELES GIGANT,"QUESO PROVOLETTA QUELESA GIGANTIN 1,5 G",KG,,0,000000000000020334,0.12,7/6/2011,9/10/2015,0,1,0,ZCHQ
20340,2708,P030201,QUESO AURICC PROV,QUESO PROVOLONE AURICCHIO CLAS TROZO,KG,,0,000000000000020340,0.12,7/6/2011,2/12/2014,0,0,0,ZCHQ
20341,2708,P030201,PROVOL AURIC TROZ300G,QUESO PROVOLONE AURICCHIO DUL TROZ 300G,KG,,0,000000000000020341,0.12,7/6/2011,10/2/2015,0,1,0,ZCHQ
20354,2708,P030201,QUE CLAL REGGI URUG,QUESO CLALDY REGGIANITO URUGUAYO,KG,,0,000000000000020354,0.12,7/6/2011,11/15/2011,0,3,0,
20360,2703,P030001,QUESO RICOTTA,QUESO RICOTTA X KG,KG,,0,000000000000020360,0,7/6/2011,4/26/2018,0,10,0,ZCHQ
20361,2703,P030001,RICOTTA FRES BUFALA,QUESO RICOTTA DE BUFALA FRESCA,KG,,0,000000000000020361,0,7/6/2011,11/15/2011,0,0,0,
20363,2703,P030001,RICOTTA PASTELERA,QUESO RICOTTA PASTELERA,KG,,0,000000000000020363,0.12,7/6/2011,9/10/2015,0,0,0,ZCHQ
20366,2705,P030101,QUESO TELITA,QUESO TELITA X KG,KG,,-1,000000000000020366,0,7/6/2011,6/7/2018,0,366,0,ZCHQ
20367,2709,P030202,QUESO BRIE TENTACION,QUESO TENTACION FLOR DE ARAGUA BRIE,KG,,0,000000000000020367,0.12,7/6/2011,4/26/2018,0,26,0,ZCHQ
20382,2718,P060004,ACEITUNA RELL PIM,ACEITUNA RELLENA PIMENTON X KG,KG,,0,000000000000020382,0,7/6/2011,5/8/2018,0,15,0,ZCHQ
20385,2716,P060002,ALCAPARRA,ALCAPARRA X KG,KG,,-1,000000000000020385,0.12,7/6/2011,6/7/2018,0,5,0,ZCHQ
20389,2715,P060001,ENCURTIDOS,ENCURTIDOS X KG,KG,,-1,000000000000020389,0.12,7/6/2011,6/7/2018,0,1,0,ZCHQ
20391,2721,P060007,GELATINA EN LAMINAS,GELATINA EN LAMINAS,KG,,0,000000000000020391,0.12,7/6/2011,10/2/2015,0,9,0,ZCHQ
20393,2721,P060007,MEMBRILLO EL QUIJOTE,MEMBRILLO EL QUIJOTE,KG,,0,000000000000020393,0.12,7/6/2011,11/25/2013,0,2,0,ZCHQ
20401,2708,P030201,QUE BIENES PARM REGG,QUESO BIENESTAR PARMESANO REGGIANITO,KG,,0,000000000000020401,0.12,7/6/2011,11/15/2011,0,0,0,
20406,2709,P030202,PINHEIRO MANSO EDAM,QUESO EDAM PINHEIRO MANSO BARRA,KG,,0,000000000000020406,0.12,7/6/2011,2/3/2014,0,6,0,ZCHQ
20409,2708,P030201,PECORINO S P PALMIA,QUESO PECORINO S PIMIENTA PALMIANDINO,KG,,0,000000000000020409,0.12,7/6/2011,9/10/2015,0,7,0,ZCHQ
20410,2709,P030202,QUE BIENE GOUDA BAR,"QUESO GOUDA BIENESTAR BARRA 3,6 KG",KG,,0,000000000000020410,0.12,7/6/2011,6/18/2013,0,14,0,ZCHQ
20413,2706,P030102,QSO CLINEJA D BUFALA,QUESO CLINEJA DE BUFALA,ST,,0,000000000000020413,0,7/6/2011,1/20/2014,0,1,0,ZCHQ
20416,2709,P030202,QUESO PACOME EDAM,QUESO EDAM PACOMELA BARRA 3KG,KG,,0,000000000000020416,0.12,7/6/2011,2/3/2014,0,0,0,ZCHQ
20419,2708,P030201,QUE AURIC MINI PROV 400GR,QUESO AURICCHIO MINI PROVOLETINA 400GR,KG,,0,000000000000020419,0.12,7/6/2011,2/12/2014,0,3,0,ZCHQ
20421,2708,P030201,QUE AURIC CLAS TROZO 1KG.,QUESO AURICCHIO CLASICO TROZO 1KG.,KG,,0,000000000000020421,0.12,7/6/2011,2/13/2013,0,0,0,ZCHQ
20423,2703,P030001,"CHEDDAR PARAMO2,4KG","QUESO FUNDIDO CHEDDAR PARAMO 2,4 KG",KG,,0,000000000000020423,0.12,7/6/2011,2/3/2014,0,0,0,ZCHQ
20424,2706,P030102,MOZARELLA AGUA LINDA,QUESO MOZARELLA AGUA LINDA,KG,,0,000000000000020424,0,7/6/2011,11/15/2011,0,1,0,
